Date,Sales,Quantity_Sold,Cost_of_Sales,Price_Per_Unit,Gross_Profit,Gross_Profit_Percent,GP_Per_Unit,Day_Of_Week,Month,Year,Promo_Flag,Seasonality_Group
2014-05-29,207429,6448,215119,32.17,-7689.42,-3.71,-1.19,5,5,2014,Normal,Mid Season
2014-05-30,503149,15637,521651,32.18,-18501.65,-3.68,-1.18,6,5,2014,Normal,Mid Season
2014-05-31,603749,18775,626259,32.16,-22510.60,-3.73,-1.20,7,5,2014,Normal,Mid Season
2014-06-01,456017,14188,473224,32.14,-17206.52,-3.77,-1.21,1,6,2014,Normal,Low Season
2014-06-02,425845,13256,442156,32.12,-16310.80,-3.83,-1.23,2,6,2014,Normal,Low Season
2014-06-03,328218,10223,340914,32.11,-12695.82,-3.87,-1.24,3,6,2014,Normal,Low Season
2014-06-04,286406,8904,296903,32.17,-10496.67,-3.66,-1.18,4,6,2014,Normal,Low Season
2014-06-05,184990,5783,192825,31.99,-7835.00,-4.24,-1.35,5,6,2014,Normal,Low Season
2014-06-06,288118,9005,300214,32.00,-12095.25,-4.20,-1.34,6,6,2014,Normal,Low Season
2014-06-07,391931,12222,407439,32.07,-15508.04,-3.96,-1.27,7,6,2014,Normal,Low Season
2014-06-08,193773,6037,201255,32.10,-7482.13,-3.86,-1.24,1,6,2014,Normal,Low Season
2014-06-09,214178,6607,220255,32.42,-6077.24,-2.84,-0.92,2,6,2014,Normal,Low Season
2014-06-10,188335,5857,195255,32.16,-6920.26,-3.67,-1.18,3,6,2014,Normal,Low Season
2014-06-11,174325,5429,180979,32.11,-6653.61,-3.82,-1.23,4,6,2014,Normal,Low Season
2014-06-12,200272,6232,207758,32.14,-7486.14,-3.74,-1.20,5,6,2014,Normal,Low Season
2014-06-13,468702,14585,486181,32.14,-17478.91,-3.73,-1.20,6,6,2014,Normal,Low Season
2014-06-14,473426,14745,492135,32.11,-18709.54,-3.95,-1.27,7,6,2014,Normal,Low Season
2014-06-15,224232,6991,233554,32.07,-9321.91,-4.16,-1.33,1,6,2014,Normal,Low Season
2014-06-16,185606,5788,193340,32.07,-7734.04,-4.17,-1.34,2,6,2014,Normal,Low Season
2014-06-17,212688,6632,221404,32.07,-8716.14,-4.10,-1.31,3,6,2014,Normal,Low Season
2014-06-18,184260,5752,192058,32.03,-7797.82,-4.23,-1.36,4,6,2014,Normal,Low Season
2014-06-19,113736,3578,119544,31.79,-5808.20,-5.11,-1.62,5,6,2014,Normal,Low Season
2014-06-20,203165,6119,205351,33.20,-2185.56,-1.08,-0.36,6,6,2014,Normal,Low Season
2014-06-21,203345,6161,206919,33.01,-3573.67,-1.76,-0.58,7,6,2014,Normal,Low Season
2014-06-22,134944,4015,135373,33.61,-428.04,-0.32,-0.11,1,6,2014,Normal,Low Season
2014-06-23,138298,4133,139206,33.46,-907.82,-0.66,-0.22,2,6,2014,Normal,Low Season
2014-06-24,36693,1047,35299,35.05,1393.62,3.80,1.33,3,6,2014,Normal,Low Season
2014-06-25,56078,1601,53925,35.03,2152.29,3.84,1.34,4,6,2014,Normal,Low Season
2014-06-26,55781,1592,53688,35.04,2092.47,3.75,1.31,5,6,2014,Normal,Low Season
2014-06-27,131721,3759,127302,35.04,4418.81,3.35,1.18,6,6,2014,Normal,Low Season
2014-06-28,146169,4172,141012,35.04,5156.75,3.53,1.24,7,6,2014,Normal,Low Season
2014-06-29,62074,1772,60084,35.03,1989.72,3.21,1.12,1,6,2014,Normal,Low Season
2014-06-30,93620,2672,90294,35.04,3325.47,3.55,1.24,2,6,2014,Normal,Low Season
2014-07-01,180183,5143,173843,35.03,6340.11,3.52,1.23,3,7,2014,Normal,Low Season
2014-07-02,104761,2990,101616,35.04,3144.97,3.00,1.05,4,7,2014,Normal,Low Season
2014-07-03,93451,2667,90927,35.04,2523.44,2.70,0.95,5,7,2014,Normal,Low Season
2014-07-04,98088,2799,95423,35.04,2664.28,2.72,0.95,6,7,2014,Normal,Low Season
2014-07-05,117562,3355,114396,35.04,3166.64,2.69,0.94,7,7,2014,Normal,Low Season
2014-07-06,70153,2002,68252,35.04,1900.84,2.71,0.95,1,7,2014,Normal,Low Season
2014-07-07,68918,1967,66991,35.04,1927.53,2.80,0.98,2,7,2014,Normal,Low Season
2014-07-08,108417,3094,105373,35.04,3044.10,2.81,0.98,3,7,2014,Normal,Low Season
2014-07-09,81803,2335,79496,35.03,2306.11,2.82,0.99,4,7,2014,Normal,Low Season
2014-07-10,103999,2968,101271,35.04,2727.59,2.62,0.92,5,7,2014,Normal,Low Season
2014-07-11,134018,3825,130633,35.04,3384.83,2.53,0.88,6,7,2014,Normal,Low Season
2014-07-12,99277,2833,96688,35.04,2588.80,2.61,0.91,7,7,2014,Normal,Low Season
2014-07-13,49705,1419,48370,35.03,1334.92,2.69,0.94,1,7,2014,Normal,Low Season
2014-07-14,75385,2151,73393,35.05,1991.13,2.64,0.93,2,7,2014,Normal,Low Season
2014-07-15,110288,3148,107437,35.03,2850.85,2.58,0.91,3,7,2014,Normal,Low Season
2014-07-16,156537,4825,164641,32.44,-8104.67,-5.18,-1.68,4,7,2014,Normal,Low Season
2014-07-17,80823,2307,78845,35.03,1978.20,2.45,0.86,5,7,2014,Normal,Low Season
2014-07-18,124616,3557,121612,35.03,3003.51,2.41,0.84,6,7,2014,Normal,Low Season
2014-07-19,242759,7485,255780,32.43,-13020.90,-5.36,-1.74,7,7,2014,Normal,Low Season
2014-07-20,85078,2428,83021,35.04,2057.73,2.42,0.85,1,7,2014,Normal,Low Season
2014-07-21,86738,2475,84643,35.05,2094.80,2.42,0.85,2,7,2014,Normal,Low Season
2014-07-22,56674,1618,55279,35.03,1394.91,2.46,0.86,3,7,2014,Normal,Low Season
2014-07-23,165742,5106,173725,32.46,-7983.19,-4.82,-1.56,4,7,2014,Normal,Low Season
2014-07-24,95618,2729,92417,35.04,3201.34,3.35,1.17,5,7,2014,Normal,Low Season
2014-07-25,515699,15897,538260,32.44,-22561.48,-4.37,-1.42,6,7,2014,Normal,Low Season
2014-07-26,562590,17343,586671,32.44,-24080.15,-4.28,-1.39,7,7,2014,Normal,Low Season
2014-07-27,266306,8207,277238,32.45,-10932.08,-4.11,-1.33,1,7,2014,Normal,Low Season
2014-07-28,292635,9018,304508,32.45,-11873.63,-4.06,-1.32,2,7,2014,Normal,Low Season
2014-07-29,212361,6548,221017,32.43,-8656.08,-4.08,-1.32,3,7,2014,Normal,Low Season
2014-07-30,198019,6102,205904,32.45,-7884.49,-3.98,-1.29,4,7,2014,Normal,Low Season
2014-07-31,295508,9108,307222,32.44,-11714.07,-3.96,-1.29,5,7,2014,Normal,Low Season
2014-08-01,611895,18867,636341,32.43,-24446.64,-4.00,-1.30,6,8,2014,Normal,Low Season
2014-08-02,628685,19384,653780,32.43,-25094.74,-3.99,-1.29,7,8,2014,Normal,Low Season
2014-08-03,307273,9473,319500,32.44,-12227.33,-3.98,-1.29,1,8,2014,Normal,Low Season
2014-08-04,362107,11170,376646,32.42,-14539.22,-4.02,-1.30,2,8,2014,Normal,Low Season
2014-08-05,262350,8091,272809,32.42,-10459.70,-3.99,-1.29,3,8,2014,Normal,Low Season
2014-08-06,80698,2303,77650,35.04,3048.27,3.78,1.32,4,8,2014,Normal,Low Season
2014-08-07,103273,2947,99367,35.04,3905.39,3.78,1.33,5,8,2014,Normal,Low Season
2014-08-08,439421,13542,456510,32.45,-17088.20,-3.89,-1.26,6,8,2014,Normal,Low Season
2014-08-09,408616,12588,424341,32.46,-15724.60,-3.85,-1.25,7,8,2014,Normal,Low Season
2014-08-10,195867,6032,203331,32.47,-7464.66,-3.81,-1.24,1,8,2014,Normal,Low Season
2014-08-11,232347,7158,241135,32.46,-8787.17,-3.78,-1.23,2,8,2014,Normal,Low Season
2014-08-12,190325,5863,197438,32.46,-7112.93,-3.74,-1.21,3,8,2014,Normal,Low Season
2014-08-13,197698,6092,205114,32.45,-7416.01,-3.75,-1.22,4,8,2014,Normal,Low Season
2014-08-14,177909,5485,184688,32.44,-6778.69,-3.81,-1.24,5,8,2014,Normal,Low Season
2014-08-15,473322,14587,491559,32.45,-18237.54,-3.85,-1.25,6,8,2014,Normal,Low Season
2014-08-16,541601,16686,562953,32.46,-21352.48,-3.94,-1.28,7,8,2014,Normal,Low Season
2014-08-17,239514,7380,249203,32.45,-9689.14,-4.05,-1.31,1,8,2014,Normal,Low Season
2014-08-18,255224,7864,265533,32.45,-10308.32,-4.04,-1.31,2,8,2014,Normal,Low Season
2014-08-19,160372,4941,167021,32.46,-6649.12,-4.15,-1.35,3,8,2014,Normal,Low Season
2014-08-20,171587,5151,174723,33.31,-3135.84,-1.83,-0.61,4,8,2014,Normal,Low Season
2014-08-21,164208,4928,167240,33.32,-3031.59,-1.85,-0.62,5,8,2014,Normal,Low Season
2014-08-22,376779,11309,384006,33.32,-7227.21,-1.92,-0.64,6,8,2014,Normal,Low Season
2014-08-23,453633,13613,463250,33.32,-9616.60,-2.12,-0.71,7,8,2014,Normal,Low Season
2014-08-24,214392,6424,218348,33.37,-3955.40,-1.84,-0.62,1,8,2014,Normal,Low Season
2014-08-25,316404,9493,323293,33.33,-6889.33,-2.18,-0.73,2,8,2014,Normal,Low Season
2014-08-26,242825,7619,259861,31.87,-17036.01,-7.02,-2.24,3,8,2014,Normal,Low Season
2014-08-27,274712,8909,304335,30.84,-29622.53,-10.78,-3.33,4,8,2014,Promotion,Low Season
2014-08-28,258066,8400,287169,30.72,-29102.40,-11.28,-3.46,5,8,2014,Promotion,Low Season
2014-08-29,594007,19317,660938,30.75,-66930.59,-11.27,-3.46,6,8,2014,Promotion,Low Season
2014-08-30,717097,23310,797789,30.76,-80692.18,-11.25,-3.46,7,8,2014,Promotion,Low Season
2014-08-31,358171,11646,398563,30.75,-40391.61,-11.28,-3.47,1,8,2014,Promotion,Low Season
2014-09-01,594954,19366,662851,30.72,-67897.36,-11.41,-3.51,2,9,2014,Promotion,Mid Season
2014-09-02,469470,15291,523480,30.70,-54010.36,-11.50,-3.53,3,9,2014,Promotion,Mid Season
2014-09-03,464068,15100,517181,30.73,-53112.74,-11.45,-3.52,4,9,2014,Promotion,Mid Season
2014-09-04,312312,10164,348177,30.73,-35865.17,-11.48,-3.53,5,9,2014,Promotion,Mid Season
2014-09-05,501279,16310,558767,30.73,-57487.69,-11.47,-3.52,6,9,2014,Promotion,Mid Season
2014-09-06,552704,17985,616170,30.73,-63465.95,-11.48,-3.53,7,9,2014,Promotion,Mid Season
2014-09-07,234154,7620,261088,30.73,-26934.62,-11.50,-3.53,1,9,2014,Promotion,Mid Season
2014-09-08,244481,7958,272633,30.72,-28151.90,-11.51,-3.54,2,9,2014,Promotion,Mid Season
2014-09-09,122750,3503,120071,35.04,2678.69,2.18,0.76,3,9,2014,Normal,Mid Season
2014-09-10,78736,2247,77072,35.04,1664.86,2.11,0.74,4,9,2014,Normal,Mid Season
2014-09-11,70875,2023,69489,35.03,1385.75,1.96,0.68,5,9,2014,Normal,Mid Season
2014-09-12,148634,4242,145956,35.04,2678.25,1.80,0.63,6,9,2014,Normal,Mid Season
2014-09-13,171725,4901,168652,35.04,3072.63,1.79,0.63,7,9,2014,Normal,Mid Season
2014-09-14,86436,2467,84948,35.04,1487.32,1.72,0.60,1,9,2014,Normal,Mid Season
2014-09-15,120236,3432,118094,35.03,2142.14,1.78,0.62,2,9,2014,Normal,Mid Season
2014-09-16,83204,2375,81753,35.03,1450.77,1.74,0.61,3,9,2014,Normal,Mid Season
2014-09-17,73768,2105,72472,35.04,1296.12,1.76,0.62,4,9,2014,Normal,Mid Season
2014-09-18,69425,1982,68280,35.03,1145.06,1.65,0.58,5,9,2014,Normal,Mid Season
2014-09-19,137155,3915,135277,35.03,1878.04,1.37,0.48,6,9,2014,Normal,Mid Season
2014-09-20,153569,4383,151376,35.04,2192.93,1.43,0.50,7,9,2014,Normal,Mid Season
2014-09-21,75633,2159,74547,35.03,1086.65,1.44,0.50,1,9,2014,Normal,Mid Season
2014-09-22,90816,2592,89654,35.04,1162.29,1.28,0.45,2,9,2014,Normal,Mid Season
2014-09-23,110118,3143,108880,35.04,1237.75,1.12,0.39,3,9,2014,Normal,Mid Season
